	number	yr	yn	year
629	1016	1634-1635	596630	1634
630	961	1635-1636	596995	1635
631	963	1636-1637	597361	1636
632	871	1637-1638	597726	1637
633	854	1638-1639	598091	1638
634	980	1639-1640	598456	1639
635	1029	1640-1641	598822	1640
636	995	1641-1642	599187	1641
637	964	1642-1643	599552	1642
638	963	1643-1644	599917	1643
639	935	1644-1645	600283	1644
640	851	1645-1646	600648	1645
641	839	1646-1647	601013	1646
642	862	1647-1648	601378	1647
643	958	1648-1649	601744	1648
644	1127	1649-1650	602109	1649
645	1064	1650-1651	602474	1650
646	913	1651-1652	602839	1651
647	976	1652-1653	603205	1652
648	1043	1653-1654	603570	1653
649	1012	1654-1655	603935	1654
650	1032	1655-1656	604300	1655
651	1082	1656-1657	604666	1656
652	1012	1657-1658	605031	1657
653	958	1658-1659	605396	1658
654	1063	1659-1660	605761	1659
655	1169	1660-1661	606127	1660
656	1105	1661-1662	606492	1661
657	1074	1662-1663	606857	1662
658	1203	1663-1664	607222	1663
659	1147	1664-1665	607588	1664
660	980	1665-1666	607953	1665
661	943	1666-1667	608318	1666
662	943	1667-1668	608683	1667
663	933	1668-1669	609049	1668
664	948	1669-1670	609414	1669
665	974	1670-1671	609779	1670
666	770	1671-1672	610144	1671
667	534	1672-1673	610510	1672
668	597	1673-1674	610875	1673
669	783	1674-1675	611240	1674
670	815	1675-1676	611605	1675
671	751	1676-1677	611971	1676
672	734	1677-1678	612336	1677
673	777	1678-1679	612701	1678
674	885	1679-1680	613066	1679
675	938	1680-1681	613432	1680
676	862	1681-1682	613797	1681
677	860	1682-1683	614162	1682
678	859	1683-1684	614527	1683
679	825	1684-1685	614893	1684
680	824	1685-1686	615258	1685
681	721	1686-1687	615623	1686
682	668	1687-1688	615988	1687
683	777	1688-1689	616354	1688
684	768	1689-1690	616719	1689
685	667	1690-1691	617084	1690
686	721	1691-1692	617449	1691
687	763	1692-1693	617815	1692
688	762	1693-1694	618180	1693
689	788	1694-1695	618545	1694
690	832	1695-1696	618910	1695
691	759	1696-1697	619276	1696
692	811	1697-1698	619641	1697
693	952	1698-1699	620006	1698
694	1046	1699-1700	620371	1699
695	935	1700-1701	620736	1700
696	673	1701-1702	621101	1701
697	627	1702-1703	621466	1702
698	664	1703-1704	621831	1703
699	707	1704-1705	622197	1704
700	752	1705-1706	622562	1705
701	741	1706-1707	622927	1706
702	727	1707-1708	623292	1707
703	817	1708-1709	623658	1708
704	882	1709-1710	624023	1709
705	869	1710-1711	624388	1710
706	826	1711-1712	624753	1711
707	777	1712-1713	625119	1712
708	802	1713-1714	625484	1713
709	803	1714-1715	625849	1714
710	786	1715-1716	626214	1715
711	796	1716-1717	626580	1716
712	760	1717-1718	626945	1717
713	793	1718-1719	627310	1718
714	861	1719-1720	627675	1719
715	864	1720-1721	628041	1720
